Lake,MD-MVM Id,EU id,Stationskoordinat N/X,Stationskoordinat E/Y,Provplatskoordinat N/X,Provplatskoordinat E/Y,Koordinatsystem,Provtagningsmedium,Program,Delprogram,Projekt,Län,Kommun,MS_CD C2,MS_CD C3,ProvId,Date,Year,Month,Day,min_depth,max_depth,Undersökningstyp,Provkommentar,Al,Al_ICP,Al_NA,Al_NAD,Al_s
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22480,2001-03-28,2001,3,28,0.50,0.50,NA,NA,NA,NA,NA,NA,85.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22481,2001-05-21,2001,5,21,0.50,0.50,NA,NA,NA,NA,NA,NA,80.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22482,2001-08-22,2001,8,22,0.50,0.50,NA,NA,NA,NA,NA,NA,45.00
Spjutsjön,54,SE672467-148031,6722638,524356,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Dalarnas län,Falun,WA42559716,WA42559716,22483,2001-10-15,2001,10,15,0.50,0.50,NA,NA,NA,NA,NA,NA,50.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30058,1993-02-17,1993,2,17,2.00,2.00,NA,NA,NA,NA,NA,NA,415.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30059,1993-09-14,1993,9,14,2.00,2.00,NA,NA,NA,NA,NA,NA,100.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30061,1994-03-17,1994,3,17,2.00,2.00,NA,NA,NA,NA,NA,NA,125.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30062,1994-08-04,1994,8,4,2.00,2.00,NA,NA,NA,NA,NA,NA,45.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30064,1995-03-14,1995,3,14,2.00,2.00,NA,NA,NA,NA,NA,NA,250.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30065,1995-08-30,1995,8,30,2.00,2.00,NA,NA,NA,NA,NA,NA,110.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30066,1996-03-24,1996,3,24,2.00,2.00,NA,NA,NA,NA,NA,NA,75.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30068,1996-08-21,1996,8,21,0.50,0.50,NA,NA,NA,NA,NA,NA,75.00
Edasjön,55,SE663365-161779,6633334,662893,NA,NA,SWEREF 99 TM,Sjö,Sötvatten,NMÖ,Sjöar trendstationer,Uppsala län,Knivsta,WA97078589,WA97078589,30070,1997-02-26,1997,2,26,0.50,0.50,NA,NA,NA,NA,NA,NA,280.00
